order_id,order_date,customer,email,product,category,quantity,unit_price,total_sale,region,sales_rep
ORD-1708,2024-01-01,Blue Ridge Llc,admin@blueridge.com,Vpn Annual,Software,5,49,245,West,Mike R.
ORD-1645,2024-01-02,Peak Solutions,info@peaksol.com,Mechanical Keyboard,Electronics,9,79.99,719.91,South,Mike R.
ORD-1868,2024-01-02,Peak Solutions,info@peaksol.com,Wireless Mouse,Electronics,13,29.99,389.87,East,Anna K.
ORD-1871,2024-01-02,Rivera & Sons,contact@riverasons.com,Webcam Hd,Electronics,3,35,105,North,Tom B.
ORD-1968,2024-01-02,Sunshine Bakery,orders@sunshine.com,Desk Lamp,Office Supplies,2,34.99,69.98,South,Sarah J.
ORD-1206,2024-01-03,Acme Corp,billing@acme.com,Pen Pack,Office Supplies,1,8.99,8.99,East,Anna K.
ORD-1450,2024-01-03,Peak Solutions,info@peaksol.com,Pen Pack,Office Supplies,2,8.99,17.98,North,Mike R.
ORD-1762,2024-01-03,Rivera & Sons,contact@riverasons.com,Ergonomic Chair,Furniture,7,325,2275,South,Lisa C.
ORD-1074,2024-01-04,Sunset Catering,orders@sunsetcatering.com,Antivirus 1yr,Software,3,59.99,179.97,West,Anna K.
ORD-1428,2024-01-05,Blue Ridge Llc,admin@blueridge.com,Desk Lamp,Office Supplies,8,34.99,279.92,South,Anna K.
ORD-1371,2024-01-07,Sunshine Bakery,orders@sunshine.com,Standing Desk,Furniture,13,549,7137,West,Tom B.
ORD-1682,2024-01-07,Sunshine Bakery,orders@sunshine.com,Ergonomic Chair,Furniture,10,325,3250,West,Tom B.
ORD-1788,2024-01-07,Greenleaf Ltd,contact@greenleaf.com,Webcam Hd,Electronics,10,35,350,East,Anna K.
ORD-1991,2024-01-08,Global Tech,info@globaltech.com,Ergonomic Chair,Furniture,15,325,4875,West,Mike R.
ORD-1158,2024-01-09,Global Tech,info@globaltech.com,Desk Lamp,Office Supplies,8,34.99,279.92,North,Tom B.
ORD-1353,2024-01-09,Sunset Catering,orders@sunsetcatering.com,Ergonomic Chair,Furniture,12,325,3900,West,Anna K.
ORD-1880,2024-01-09,Acme Corp,billing@acme.com,Pdf Editor,Software,7,79,553,North,Lisa C.
